Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,,,,,,,,,,,,,,,,
POST,31,-8.15344429,-4.842237473,-3.762549639,-5.791054249,-8.201785088,-4.940391064,-5.07126236,-5.202133656,-5.333004951,-6.54356432,-5.496593952,-5.88920784,-6.085515022,-4.286034584,-5.234851837,,,,,,,,,,,,,,,,
POST,32,-8.185671806,-4.842237473,-3.762549639,-6.085515022,-8.056763649,-4.187880993,-5.169415951,-5.300287247,-5.431158543,-6.347257614,-6.281822205,-5.987361431,-6.2491045,-4.678648472,-4.973108768,,,,,,,,,,,,,,,,
POST,33,-8.234012604,-4.384188175,-3.86070323,-6.085515022,-8.217898369,-5.07126236,-5.169415951,-5.463876247,-5.594747543,-6.412693501,-6.150950909,-5.921925545,-6.2491045,-4.155163288,-5.005826473,,,,,,,,,,,,,,,,
POST,34,-8.201785088,-4.384188175,-3.86070323,-6.085515022,-8.217898369,-5.594747543,-5.267569542,-5.365722656,-5.594747543,-6.412693501,-6.150950909,-6.281822205,-5.725618839,-4.318752289,-5.005826473,,,,,,,,,,,,,,,,
POST,35,-8.217898369,-4.286034584,-3.827985287,-6.085515022,-8.169557571,-4.744084358,-5.267569542,-5.463876247,-5.431158543,-6.47812891,-5.791054249,-5.725618839,-5.856490135,-4.286034584,-4.776802063,,,,,,,,,,,,,,,,
POST,36,-8.217898369,-4.253316879,-3.762549639,-6.2491045,-8.217898369,-4.384188175,-5.169415951,-5.463876247,-5.463876247,-6.47812891,-6.183668613,-6.216386318,-5.856490135,-4.645930767,-5.005826473,,,,,,,,,,,,,,,,
POST,37,-8.217898369,-4.253316879,-3.762549639,-6.2491045,-8.234012604,-4.482341766,-5.300287247,-5.365722656,-5.431158543,-6.412693501,-6.118233204,-5.856490135,-5.594747543,-4.482341766,-5.136698246,,,,,,,,,,,,,,,,
POST,38,-8.217898369,-4.253316879,-3.729831934,-6.052796841,-8.201785088,-4.286034584,-5.300287247,-5.463876247,-5.103980541,-6.412693501,-6.020079136,-5.95464325,-5.987361431,-4.580495358,-5.496593952,,,,,,,,,,,,,,,,
POST,39,-8.234012604,-4.907673359,-3.729831934,-6.052796841,-8.201785088,-4.057010174,-5.038544655,NaN,-5.463876247,-6.412693501,-6.150950909,-6.216386318,-5.987361431,-4.351469994,-5.496593952,,,,,,,,,,,,,,,,
POST,40,-8.217898369,-4.907673359,-3.958856583,-5.725618839,-8.217898369,-4.351469994,-5.136698246,NaN,-5.529312134,-6.347257614,-5.660182953,-6.2491045,-5.88920784,-4.286034584,-5.365722656,,,,,,,,,,,,,,,,
POST,41,-8.201785088,-5.038544655,-3.958856583,-5.562029839,-8.234012604,-3.664396048,-5.202133656,NaN,-5.529312134,-6.445411205,-5.758336544,-5.921925545,-5.758336544,-4.416906357,-5.365722656,,,,,,,,,,,,,,,,
POST,42,-8.234012604,-5.038544655,-3.697113752,-6.052796841,-8.234012604,-5.95464325,-5.333004951,NaN,-5.365722656,-6.576282501,-6.085515022,-6.216386318,-5.594747543,-4.286034584,-5.365722656,,,,,,,,,,,,,,,,
POST,43,-8.217898369,-4.973108768,-3.697113752,-6.052796841,-8.217898369,-5.921925545,-5.333004951,NaN,-5.496593952,-6.576282501,-6.020079136,-5.987361431,-5.856490135,-4.351469994,-5.267569542,,,,,,,,,,,,,,,,
POST,44,-8.201785088,-4.973108768,-4.547777176,-5.987361431,-8.217898369,-5.365722656,-5.234851837,NaN,-5.398440838,-6.576282501,-6.118233204,-6.281822205,-5.921925545,-4.187880993,-5.169415951,,,,,,,,,,,,,,,,
POST,45,-8.217898369,-4.973108768,-4.547777176,-5.987361431,-8.234012604,-4.744084358,-5.234851837,NaN,-5.365722656,-6.576282501,-6.118233204,-5.987361431,-5.758336544,-4.024291992,-5.136698246,,,,,,,,,,,,,,,,
POST,46,-8.201785088,-5.07126236,-4.089727879,-5.921925545,-8.234012604,NaN,-5.202133656,NaN,-5.431158543,-6.576282501,-6.281822205,-6.150950909,-5.594747543,-4.351469994,-4.907673359,,,,,,,,,,,,,,,,
POST,47,-8.217898369,-5.07126236,-4.089727879,-5.921925545,-8.217898369,NaN,-5.202133656,NaN,-5.463876247,-6.412693501,-6.347257614,-5.692901134,-5.95464325,-4.187880993,-5.463876247,,,,,,,,,,,,,,,,
POST,48,-8.217898369,NaN,-3.827985287,NaN,-8.234012604,NaN,-5.103980541,NaN,-5.627465248,-6.412693501,-6.314539909,-5.95464325,-5.823771954,-4.547777176,NaN,,,,,,,,,,,,,,,,
POST,49,NaN,NaN,-3.697113752,NaN,-8.234012604,NaN,-5.103980541,NaN,NaN,-6.314539909,-6.216386318,-5.921925545,-5.627465248,-4.515059471,NaN,,,,,,,,,,,,,,,,
