Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,
POST,7,-446.4098959,-266.5930181,-397.4659058,-397.4659234,-475.0565818,-281.1344461,-373.2302041,-96.94291687,-261.7458636,-329.6059024,-189.0386705,-247.2044179,-348.9944849,-174.4972419,-281.1344196,
POST,8,-537.1243188,-373.2301953,-358.6886878,-397.4659234,-467.894928,-319.9115758,-237.5101532,-111.4843361,-353.8415863,-465.3259798,-247.2044268,-193.8858249,-363.5359041,-179.3444057,-252.0515724,
POST,9,-496.5415256,-247.2044135,-402.313069,-407.1602323,-479.8309823,-290.8287109,-285.9815829,-111.4843361,-290.8287109,-557.4216583,-159.9558144,-145.414351,-285.9815741,-150.2615187,-276.2872828,
POST,10,-477.4437997,-159.9558078,-339.3001759,-407.1602323,-594.4175847,-339.3001671,-213.2743897,-106.6371954,-387.7716322,-334.4530303,-266.5930269,-193.8858073,-319.9115758,-140.5672231,-281.1344373,
POST,11,-472.6692932,-222.9686898,-329.60592,-412.007378,-429.6994409,-348.9944672,-324.7587391,-106.6372037,-252.0515724,-499.2559815,-174.4972248,-169.6500802,-290.8287109,-164.8029335,-319.9115846,
POST,12,-434.4738768,-222.9686898,-329.60592,-412.007378,-541.8987194,-305.3701301,-353.8416393,-111.4843427,-222.968681,-353.8416128,-203.5800991,-232.6629899,-407.160197,-121.1786406,-300.5230286,
POST,13,-441.6354953,-247.2044268,-310.2173022,-402.3130602,-420.1505339,-310.2173022,-315.0644655,-106.6371949,-164.8029335,-348.9944495,-189.0386705,-208.4272441,-247.2044091,-174.4972159,-363.535957,
POST,14,-484.6054535,-256.8986871,-348.9944495,-382.9244866,-460.7332388,-295.675883,-242.3572502,-130.8729318,-397.4659234,-382.9244866,-247.2044268,-198.7329705,-324.7587302,-164.8029335,-271.4401394,
POST,15,-503.7031617,-256.8986871,-334.4530127,-368.3830497,-422.5377871,-339.3001759,-324.7587391,-106.637186,-344.1473216,-382.9244866,-184.1915248,-169.6501056,-412.0073338,-164.8029424,-295.6758653,
POST,16,-513.2520688,-184.191516,-334.4530127,-426.5487972,-429.6993703,-242.3572547,-295.6758653,-111.4843499,-353.8416305,-378.0773233,-237.5101267,-227.8158443,-324.7587038,-130.872923,-276.2872873,
POST,17,-534.7370302,-271.4401549,-315.0644302,-426.5487972,-501.3160144,-344.1473392,-252.0515371,-106.6371949,-315.064439,-596.198894,-213.2743897,-198.7329705,-436.2430796,-135.7200421,-145.4143692,
POST,18,-410.6016621,-222.9686722,-416.8544353,-295.6758653,-491.7671427,-237.5101267,-363.5359041,-111.4843537,-344.1473216,-334.4530303,-218.1215707,-208.4272794,-300.5229933,-198.7329705,-285.9815564,
POST,19,-560.9964629,-227.8158266,-344.1473392,-358.6887673,-424.9249697,-285.9815918,-227.8158354,-111.4843405,-227.8158443,-397.4659058,-193.8858161,-222.9686987,-348.9944495,-155.1086423,-387.7716366,
POST,20,-417.7633512,-203.5801029,-397.4659234,-392.6187778,-434.4738768,-339.3001759,-329.6058847,-126.0257774,-339.3001759,-441.0902694,-213.2743809,-266.5930269,-479.8673814,-116.3314817,-348.9944716,
POST,21,-537.1242835,-266.5929563,-363.5359394,-392.6187778,-508.4776682,-295.67583,-276.2872652,-96.94290363,-382.9244866,-295.6758653,-164.8029424,-179.3443792,-300.5230375,-159.9557879,-358.6887849,
POST,22,-396.2783191,-252.0515746,-387.7715792,-348.9944849,-429.6994763,-421.7016515,-353.8416216,-111.4843383,-295.675883,-591.351766,-222.9686898,-242.3572988,-470.1730724,-159.9557702,-421.7016162,
POST,23,-374.7934637,-324.7587435,-344.1473569,-392.6187866,-513.2520511,-329.6058494,-344.1473304,-116.3314861,-261.7458636,-334.4530303,-227.8158619,-242.3572635,-397.4659234,-179.3443616,-256.8987357,
POST,24,-508.4776329,-242.3572811,-387.7716852,-436.2430884,-563.3836808,-499.2560345,-382.9244954,-92.09576684,-266.5930093,-392.6187425,-218.121553,-193.8858249,-344.1472686,-155.1086599,-344.1473414,
POST,25,-408.2144442,-247.2044268,-266.5930269,-436.2430884,-527.5753764,-416.8544883,-222.9686987,-121.1786582,-358.6887231,-412.007325,-159.9557879,-184.1915348,-300.522958,-159.9557967,-237.5101002,
POST,26,-522.8009759,-247.2044312,-348.9944849,-378.0773321,-403.4400436,-431.3959428,-329.6059112,-121.1786406,-256.8986915,-378.0772879,-208.4272618,-203.5800808,-387.7716498,-155.1086423,-281.1344461,
POST,27,-632.6130011,-324.7587302,-504.1031095,-382.9244866,-518.0265753,-363.5359306,-285.9815918,-121.1786273,-271.4401019,-378.0773586,-193.8858337,-266.5929739,-615.5874058,-126.0257906,-285.9815918,
POST,28,-439.2483127,-242.3572547,-324.7587391,-339.300123,-441.6354953,-387.7716233,-252.0515547,-121.1786317,-198.7329882,-421.7016869,-174.4972424,-222.9686987,-329.6059024,-174.4972248,-305.3701742,
POST,29,-405.8272262,-256.8987048,-373.2301953,-339.300123,-529.9625944,-300.5230198,-252.0515415,-121.1786053,-300.5230375,-373.2301953,-174.4972424,-208.4272618,-382.9244866,-218.1215354,-397.4659234,
POST,30,-470.2821106,-193.8858337,-305.3701566,-339.3001759,-486.9927421,-324.7587567,-266.5929739,-121.1786582,-310.217311,-368.383085,-203.5800632,-213.2744074,-625.2817854,-135.7200863,-300.5229955,
POST,31,-453.5716203,-208.4272485,-329.605867,-353.8416128,-439.2483833,-295.6758918,-358.6887275,-130.8729142,-324.7587391,-484.7145623,-174.4972336,-218.1215354,-397.4659058,-126.0257906,-344.1473216,
